date,mid_price,ask_price,bid_price
2024-01-02 06:59:00,1.3323,1.3323,1.3323
2024-01-02 07:01:00,1.33236,1.33236,1.33236
2024-01-02 07:02:00,1.33234,1.33234,1.33234
2024-01-02 07:04:00,1.3323,1.3323,1.3323
2024-01-02 07:05:00,1.33236,1.33236,1.33236
2024-01-02 07:07:00,1.33236,1.33236,1.33236
2024-01-02 07:08:00,1.33237,1.33237,1.33237
2024-01-02 07:09:00,1.33236,1.33236,1.33236
2024-01-02 07:11:00,1.33243,1.33243,1.33243
2024-01-02 07:12:00,1.33241,1.33241,1.33241
2024-01-02 07:14:00,1.33236,1.33236,1.33236
2024-01-02 07:15:00,1.33239,1.33239,1.33239
2024-01-02 07:17:00,1.33236,1.33236,1.33236
2024-01-02 07:18:00,1.33237,1.33237,1.33237
2024-01-02 07:20:00,1.33232,1.33232,1.33232
2024-01-02 07:21:00,1.33232,1.33232,1.33232
2024-01-02 07:23:00,1.33241,1.33241,1.33241
2024-01-02 07:24:00,1.33232,1.33232,1.33232
2024-01-02 07:25:00,1.33207,1.33207,1.33207
2024-01-02 07:27:00,1.33213,1.33213,1.33213
2024-01-02 07:28:00,1.33205,1.33205,1.33205
2024-01-02 07:30:00,1.33205,1.33205,1.33205
2024-01-02 07:31:00,1.33205,1.33205,1.33205
2024-01-02 07:33:00,1.33205,1.33205,1.33205
2024-01-02 07:34:00,1.33205,1.33205,1.33205
2024-01-02 07:36:00,1.33205,1.33205,1.33205
2024-01-02 07:37:00,1.33205,1.33205,1.33205
2024-01-02 07:38:00,1.33205,1.33205,1.33205
2024-01-02 07:40:00,1.33207,1.33207,1.33207
2024-01-02 07:41:00,1.33218,1.33218,1.33218
2024-01-02 07:43:00,1.33218,1.33218,1.33218
2024-01-02 07:44:00,1.33218,1.33218,1.33218
2024-01-02 07:46:00,1.33218,1.33218,1.33218
2024-01-02 07:47:00,1.33216,1.33216,1.33216
2024-01-02 07:49:00,1.33214,1.33214,1.33214
2024-01-02 07:50:00,1.33213,1.33213,1.33213
2024-01-02 07:52:00,1.33211,1.33211,1.33211
2024-01-02 07:53:00,1.33211,1.33211,1.33211
2024-01-02 07:54:00,1.33223,1.33223,1.33223
2024-01-02 07:56:00,1.33229,1.33229,1.33229
2024-01-02 07:57:00,1.33225,1.33225,1.33225
2024-01-02 07:59:00,1.3323,1.3323,1.3323
2024-01-02 08:00:00,1.3323,1.3323,1.3323
2024-01-02 08:02:00,1.3323,1.3323,1.3323
2024-01-02 08:03:00,1.3322,1.3322,1.3322
2024-01-02 08:05:00,1.33211,1.33211,1.33211
2024-01-02 08:06:00,1.33211,1.33211,1.33211
2024-01-02 08:08:00,1.33211,1.33211,1.33211
2024-01-02 08:09:00,1.33211,1.33211,1.33211
2024-01-02 08:10:00,1.33223,1.33223,1.33223
2024-01-02 08:12:00,1.33221,1.33221,1.33221
2024-01-02 08:13:00,1.3322,1.3322,1.3322
2024-01-02 08:15:00,1.3322,1.3322,1.3322
2024-01-02 08:16:00,1.33232,1.33232,1.33232
2024-01-02 08:18:00,1.3323,1.3323,1.3323
2024-01-02 08:19:00,1.33227,1.33227,1.33227
2024-01-02 08:21:00,1.33223,1.33223,1.33223
2024-01-02 08:22:00,1.33227,1.33227,1.33227
2024-01-02 08:23:00,1.3323,1.3323,1.3323
2024-01-02 08:25:00,1.33223,1.33223,1.33223
2024-01-02 08:26:00,1.33221,1.33221,1.33221
2024-01-02 08:28:00,1.33223,1.33223,1.33223
2024-01-02 08:29:00,1.33223,1.33223,1.33223
2024-01-02 08:31:00,1.33225,1.33225,1.33225
2024-01-02 08:32:00,1.3323,1.3323,1.3323
2024-01-02 08:34:00,1.3323,1.3323,1.3323
2024-01-02 08:35:00,1.3323,1.3323,1.3323
2024-01-02 08:37:00,1.3323,1.3323,1.3323
2024-01-02 08:38:00,1.3323,1.3323,1.3323
2024-01-02 08:39:00,1.33232,1.33232,1.33232
2024-01-02 08:41:00,1.33232,1.33232,1.33232
2024-01-02 08:42:00,1.33223,1.33223,1.33223
2024-01-02 08:44:00,1.3323,1.3323,1.3323
2024-01-02 08:45:00,1.33227,1.33227,1.33227
2024-01-02 08:47:00,1.33225,1.33225,1.33225
2024-01-02 08:48:00,1.33223,1.33223,1.33223
2024-01-02 08:50:00,1.33223,1.33223,1.33223
2024-01-02 08:51:00,1.33218,1.33218,1.33218
2024-01-02 08:53:00,1.33221,1.33221,1.33221
2024-01-02 08:54:00,1.33221,1.33221,1.33221
2024-01-02 08:55:00,1.33223,1.33223,1.33223
2024-01-02 08:57:00,1.33225,1.33225,1.33225
2024-01-02 08:58:00,1.33223,1.33223,1.33223
2024-01-02 09:00:00,1.3322,1.3322,1.3322
2024-01-02 09:01:00,1.33223,1.33223,1.33223
2024-01-02 09:03:00,1.33223,1.33223,1.33223
2024-01-02 09:04:00,1.33227,1.33227,1.33227
2024-01-02 09:06:00,1.33229,1.33229,1.33229
2024-01-02 09:07:00,1.33229,1.33229,1.33229
2024-01-02 09:08:00,1.33223,1.33223,1.33223
2024-01-02 09:10:00,1.33221,1.33221,1.33221
2024-01-02 09:11:00,1.33232,1.33232,1.33232
2024-01-02 09:13:00,1.33232,1.33232,1.33232
2024-01-02 09:14:00,1.33232,1.33232,1.33232
2024-01-02 09:16:00,1.33227,1.33227,1.33227
2024-01-02 09:17:00,1.3323,1.3323,1.3323
2024-01-02 09:19:00,1.3323,1.3323,1.3323
2024-01-02 09:20:00,1.3322,1.3322,1.3322
2024-01-02 09:22:00,1.33205,1.33205,1.33205
2024-01-02 09:23:00,1.33197,1.33197,1.33197
2024-01-02 09:24:00,1.33198,1.33198,1.33198
2024-01-02 09:26:00,1.332,1.332,1.332
2024-01-02 09:27:00,1.33198,1.33198,1.33198
2024-01-02 09:29:00,1.33197,1.33197,1.33197
2024-01-02 09:30:00,1.332,1.332,1.332
2024-01-02 09:32:00,1.33195,1.33195,1.33195
2024-01-02 09:33:00,1.33195,1.33195,1.33195
2024-01-02 09:35:00,1.33186,1.33186,1.33186
2024-01-02 09:36:00,1.33181,1.33181,1.33181
2024-01-02 09:38:00,1.33189,1.33189,1.33189
2024-01-02 09:39:00,1.33195,1.33195,1.33195
2024-01-02 09:40:00,1.33195,1.33195,1.33195
2024-01-02 09:42:00,1.33195,1.33195,1.33195
2024-01-02 09:43:00,1.33189,1.33189,1.33189
2024-01-02 09:45:00,1.33198,1.33198,1.33198
2024-01-02 09:46:00,1.33211,1.33211,1.33211
2024-01-02 09:48:00,1.33211,1.33211,1.33211
2024-01-02 09:49:00,1.33207,1.33207,1.33207
2024-01-02 09:51:00,1.33214,1.33214,1.33214
2024-01-02 09:52:00,1.33216,1.33216,1.33216
2024-01-02 09:53:00,1.33213,1.33213,1.33213
2024-01-02 09:55:00,1.33218,1.33218,1.33218
2024-01-02 09:56:00,1.33225,1.33225,1.33225
2024-01-02 09:58:00,1.3323,1.3323,1.3323
2024-01-02 09:59:00,1.33221,1.33221,1.33221
2024-01-02 10:01:00,1.33211,1.33211,1.33211
2024-01-02 10:02:00,1.33209,1.33209,1.33209
2024-01-02 10:04:00,1.33216,1.33216,1.33216
2024-01-02 10:05:00,1.3323,1.3323,1.3323
2024-01-02 10:07:00,1.33229,1.33229,1.33229
2024-01-02 10:08:00,1.33232,1.33232,1.33232
2024-01-02 10:09:00,1.33246,1.33246,1.33246
2024-01-02 10:11:00,1.33245,1.33245,1.33245
2024-01-02 10:12:00,1.33246,1.33246,1.33246
2024-01-02 10:14:00,1.33239,1.33239,1.33239
2024-01-02 10:15:00,1.33289,1.33289,1.33289
2024-01-02 10:17:00,1.33296,1.33296,1.33296
2024-01-02 10:18:00,1.33273,1.33273,1.33273
2024-01-02 10:20:00,1.33275,1.33275,1.33275
2024-01-02 10:21:00,1.33282,1.33282,1.33282
2024-01-02 10:23:00,1.33284,1.33284,1.33284
2024-01-02 10:24:00,1.33276,1.33276,1.33276
2024-01-02 10:25:00,1.33284,1.33284,1.33284
2024-01-02 10:27:00,1.33291,1.33291,1.33291
2024-01-02 10:28:00,1.33268,1.33268,1.33268
2024-01-02 10:30:00,1.33259,1.33259,1.33259
2024-01-02 10:31:00,1.33243,1.33243,1.33243
2024-01-02 10:33:00,1.33255,1.33255,1.33255
2024-01-02 10:34:00,1.33259,1.33259,1.33259
2024-01-02 10:36:00,1.33245,1.33245,1.33245
2024-01-02 10:37:00,1.3325,1.3325,1.3325
