model,MASE-6750-scaled,CRPS-6750-scaled,Rank-6750-scaled,eval_metrics/MAE[0.5]-663-unscaled,CRPS-663-unscaled,Rank-663-unscaled
toto,0.617,0.375,2.369,0.001,0.025,8.122
moirai_1.1_base,0.710,0.428,4.328,0.000,0.003,6.125
moirai_1.1_large,0.720,0.436,4.561,0.001,0.005,7.217
moirai_1.1_small,0.729,0.442,4.905,0.000,0.006,7.478
timesfm_2_0_500m,0.725,0.447,5.243,0.014,0.091,10.588
chronos_bolt_base,0.726,0.451,5.576,0.003,0.019,8.593
chronos_bolt_small,0.733,0.455,5.927,0.003,0.022,8.846
autoarima,0.824,0.736,9.686,0.000,0.001,4.140
time_moe_200M,0.881,0.643,9.843,0.000,0.005,9.199
time_moe_50M,0.806,0.649,9.877,0.001,0.005,8.027
timer,0.796,0.639,9.920,0.001,0.005,6.879
visionts,0.988,0.673,10.989,0.001,0.009,9.008
autoets,0.842,1.975,11.671,0.000,0.030,7.908
autotheta,1.123,1.018,12.472,0.001,0.002,7.566
seasonalnaive,1.000,1.000,12.631,0.000,0.006,10.303
