model,MASE-90-scaled,CRPS-90-scaled,Rank-90-scaled,eval_metrics/MAE[0.5]-6-unscaled,CRPS-6-unscaled,Rank-6-unscaled
toto,0.617,0.519,1.244,0.116,0.333,2.000
timesfm_2_0_500m,0.685,0.603,4.178,0.150,0.390,3.667
moirai_1.1_large,0.767,0.621,4.322,0.202,0.624,7.667
moirai_1.1_base,0.779,0.630,4.644,0.203,0.537,6.000
moirai_1.1_small,0.786,0.631,5.044,0.202,0.548,6.000
chronos_bolt_base,0.711,0.637,5.578,0.213,0.563,6.333
chronos_bolt_small,0.717,0.642,5.778,0.176,0.468,4.833
time_moe_200M,0.793,0.780,9.500,0.230,1.056,7.500
time_moe_50M,0.810,0.788,9.500,0.244,1.123,8.833
timer,0.807,0.793,9.844,0.296,1.363,11.667
autoarima,0.922,0.880,10.278,0.350,1.255,10.000
visionts,0.912,0.885,11.722,0.365,1.047,11.167
seasonalnaive,1.000,1.000,12.222,0.217,0.952,8.000
autoets,0.969,15.664,12.856,0.275,1.865,12.667
autotheta,1.030,1.182,13.289,0.383,2.290,13.667
